0,0.000736,0.000736,1,0
0.32699756,0.32699756,0,5,1
0.25659,0.25659,0,2,1
0.07460108,0.07464653,0.00004545,45,0
0.77419142,0.77419142,0,30,1
0.52886981,0.52886981,0,8,1
0,0.055,0.055,1,0
0,0.2509,0.2509,1,0
0,0.0001403,0.0001403,1,0
0,0.00179448,0.00179448,1,0
0,0.00024194,0.00024194,1,0
0,0.000136,0.000136,1,0
0.39334719,0.39334719,0,10,1
0.00015416,0.00015416,0,2,1
0,0.00500002,0.00500002,3,0
286.5339919,286.5432699,0.00927796,1263,1
0,0.00855,0.00855,1,0
0,0.00015323,0.00015323,1,0
0.69486149,0.69486149,0,10,1
0,0,0,0,1
0,0.0001,0.0001,1,0
0,0.00086757,0.00086757,1,0
0,0.00004884,0.00004884,1,0
0,0.01050038,0.01050038,1,0
11.3026897,11.30272803,0.00003833,3,0
0,0.00001,0.00001,1,0
0.38636159,0.38636159,0,4,1
2.60229527,2.60229527,0,16,1
0,0.0000961,0.0000961,1,0
0.13663035,0.13663035,0,3,1
0.41,0.4109,0.0009,2,0
0,0.0059199,0.0059199,1,0
0,0.00002544,0.00002544,1,0
0,0.06322881,0.06322881,3,1
0.00294128,0.00307517,0.00013389,3,0
0.64844277,0.64844277,0,8,1
0.0114071,0.0114071,0,2,1
0,0.0098,0.0098,1,0
0,0.0082381,0.0082381,1,0
0.13101092,0.13108736,0.00007644,24,0
0.52964362,0.52964362,0,9,1
0,0.00003242,0.00003242,1,0
0,0.0007569,0.0007569,1,0
0.10393312,0.10393312,0,2,1
0.89640622,0.89640622,0,22,1
0.07229985,0.07229985,0,2,0
0,0.01053,0.01053,1,0
0.07939235,0.07939235,0,2,0
0.0045424,0.00551892,0.00097652,5,0
0,0.0001384,0.0001384,1,0
0.06891028,0.06919649,0.00028621,3,0
0,0.00001,0.00001,1,0
0.03896605,0.03896605,0,2,1
0.01961669,0.02211993,0.00250324,11,0
0.4,0.4,0,3,1
0,0.00010908,0.00010908,1,0
0.07,0.07,0,2,1
0,0.0001,0.0001,1,0
0.00117188,0.00117188,0,2,0
0,0.00006274,0.00006274,1,0
0,0.00063763,0.00063763,1,0
0,0.0000453,0.0000453,1,0
0,0.00000902,0.00000902,1,0
0.79736303,0.7973685,0.00000547,8,1
0.07237893,0.07237893,0,12,0
0.1153685,0.1153685,0,2,1
0.14742445,0.14742445,0,5,1
0,0.00003904,0.00003904,1,0
0,0.00154812,0.00154812,1,0
0,0.00000546,0.00000546,1,0
0.00179669,0.00179669,0,2,0
0,0.00061767,0.00061767,1,0
0,0.001974,0.001974,1,0
0.00025546,0.00026092,0.00000546,3,0
0.001,0.0011,0.0001,3,0
0,0.00105684,0.00105684,1,0
0.0016,0.00160546,0.00000546,6,0
0.20992432,0.21123956,0.00131524,28,0
0,0.0018141,0.0018141,1,0
0,0.001,0.001,1,0
0.61076391,0.61076391,0,9,1
0,0.539474,0.539474,1,0
0.00010866,0.00010866,0,2,1
0.24317082,0.24317082,0,12,1
0.00018,0.00025,0.00007,6,0
0.00591707,0.00591707,0,2,0
0,0.00019848,0.00019848,1,0
0.116247,0.116247,0,2,1
0.2001939,0.2317,0.0315061,3,0
0,2.06181,2.06181,1,0
0.24167993,0.24167993,0,5,1
0,0.00004203,0.00004203,1,0
2.29235176,2.29328517,0.00093341,68,0
0.1,0.1,0,2,1
0,0.00214168,0.00214168,1,0
0,0.00010265,0.00010265,1,0
0,0.00007564,0.00007564,1,0
0,0.00001093,0.00001093,2,0
0,0.00000546,0.00000546,1,0
1.08373475,1.08373475,0,16,1
0.08921281,0.091,0.00178719,4,0
