0.5,0.5,0,2,0.898307168,0.950761612,0.898307168,0.950761612,2.55,0.920597632,0,0,0,0,0,0,0,0,1
0,0.02729047,0.02729047,1,0.037041447,0.131646302,0.037041447,0.131646302,2.095238095,0.42591771,0,0,0,0,0,0,0,0,0
0.6061,0.6061,0,2,16.00448312,0,16.00448312,0,2,0,0,3.43871355,0,3.43871355,0,8,0,0,1
3.35994233,3.35994233,0,18,42.28509629,178.9213601,42.28510876,178.921394,120.547619,423.9314599,1.25E-05,0,0,0,0,0,0,0,1
0.00000546,0.00002184,0.00001638,4,0.03766018,0.03763288,0.03766837,0.03763015,128,121,0.00000819,0.025110427,0.035484482,0.025121347,0.035480621,87,114.5629376,0.00001092,0
0.5712,0.5712,0,7,0.949085499,3.57318996,0.949759309,3.573202043,107.2857143,819.9770695,0.00067381,1.345358785,1.464620732,1.34698678,1.463127255,8.5,11.84271928,0.001627995,0
0,0.0044271,0.0044271,1,0.076418,0,0.076418,0,2,0,0,0,0,0,0,0,0,0,0
9.49446666,9.49446666,0,592,835.3185171,6.03E+03,835.3185555,6.03E+03,405.8727273,726.2599598,3.84E-05,2.6804,0,2.6804,0,2,0,0,1
0,0.00502819,0.00502819,2,1.47E+04,1.05E+04,1.47E+04,1.05E+04,98862,52297,2.55962907,0,0,0,0,0,0,0,0
0.00003276,0.00007644,0.00004368,20,5.41E+03,9.36E+03,5.53E+03,9.57E+03,873495,1502752.15,118.3864236,2.16E+04,0,2.21E+04,0,3476327,0,473.5455726,0
0,0.000055,0.000055,1,14.03989523,0,14.09891919,0,3877,0,0.05902396,0,0,0,0,0,0,0,0
1,1,0,2,1.026345,0.250236056,1.026345,0.250236056,2.75,1.042832681,0,25.00500938,24.99499063,25.00500938,24.99499063,2,0,0,1
1.2,1.2,0,2,2.241023889,1.340987617,2.241023889,1.340987617,5.142857143,3.356382893,0,3.600885115,3.599114885,3.600885115,3.599114885,2,0,0,1
0,0.00000687,0.00000687,1,0.00955003,0.00197277,0.00955003,0.00197277,2,0,0,0,0,0,0,0,0,0,0
0,0.00016508,0.00016508,1,1.32201288,2.164018693,1.346990108,2.207205608,17944.75,29459.20752,0.024977228,0,0,0,0,0,0,0,0
4.68034621,4.68034621,0,16,169.4388353,1.10E+03,169.4388361,1.10E+03,230.3013699,1443.991146,8.22E-07,5.8506893,11.22708296,5.8506893,11.22708296,38.25,56.75110131,0,1
0.301,0.301,0,2,0,0,0,0,0,0,0,0.30083409,0,0.30083409,0,2,0,0,1
0.5,0.5,0,2,20.47899803,82.32260327,20.47899803,82.32260327,28.6,115.03017,0,0,0,0,0,0,0,0,1
0.05748479,0.05931673,0.00183194,13,1.29E+03,1.08E+04,1.29E+03,1.08E+04,2080.986842,15232.36972,0.004823123,2.16E+04,0,2.21E+04,0,3478946,0,472.5849295,0
0,0.0002603,0.0002603,1,0.00325966,0,0.00325966,0,2,0,0,0,0,0,0,0,0,0,0
3,3,0,2,1.437460885,1.245857564,1.439560885,1.248520538,2.842105263,1.348026155,0.0021,1.19E+03,1.19E+03,1.19E+03,1.19E+03,31.5,29.5,0,1
0.8,0.8,0,2,1.09E+04,0,1.09E+04,0,14833,0,0,1.59963747,0,1.59963747,0,4,0,0,1
0.00438914,0.00735842,0.00296928,4,0.42758056,0.637772595,0.476784109,0.692140151,113.3478261,156.9587619,0.049203549,0,0,0,0,0,0,0,0
0,0.0000556,0.0000556,3,4.25325607,3.066587295,4.25325607,3.066587295,22,28.28427125,0,0,0,0,0,0,0,0,0
0,0.00717,0.00717,1,5.53E+05,0,5.53E+05,0,948640,0,0.00048592,0,0,0,0,0,0,0,0
0,0.00000002,0.00000002,1,0.51061906,0,0.51061906,0,18,0,0,0,0,0,0,0,0,0,0
0.0020831,0.00226965,0.00018655,20,36.89161626,145.5422584,36.89161626,145.5422584,177.16,456.8636278,0,0.025575595,0.025575595,0.02583938,0.02531181,8.5,6.5,0.000263785,0
1.03E+03,1.03E+03,0,328,83.4843405,590.3921971,83.48434861,590.3922292,174.1862745,530.7855025,8.11E-06,4.75E+05,0,4.75E+05,0,4333,0,0,1
0,0.08489906,0.08489906,1,0.36339133,0,0.36339133,0,2,0,0,0,0,0,0,0,0,0,0
0,0.53908385,0.53908385,1,1.00581612,0,1.00581612,0,2,0,0,0,0,0,0,0,0,0,0
0,0.01000073,0.01000073,1,0.168656165,0.063043835,0.168656165,0.063043835,3,1,0,0,0,0,0,0,0,0,0
0.75,0.75,0,2,1.0573107,0,1.0573107,0,2,0,0,0.74981701,0,0.74981701,0,2,0,0,1
7.455,7.455,0,12,54.65281051,195.340714,54.65281071,195.340714,33.16666667,81.50181775,2.01E-07,0,0,0,0,0,0,0,1
2,2,0,2,63.88224867,113.9137698,63.88224867,113.9137698,318,812.8324961,0,10,0,10,0,2,0,0,1
0,0.0000055,0.0000055,1,0.37905963,0,0.46347688,0,1516,0,0.08441725,0,0,0,0,0,0,0,0
0.8,0.8,0,2,0.37782312,0.202868829,0.37782312,0.202868829,2,0,0,0.79984078,0,0.79984078,0,2,0,0,1
3.16957468,3.16957468,0,43,42.01980804,161.6690771,42.0198135,161.6691169,124.344,397.040534,5.46E-06,0,0,0,0,0,0,0,1
0.00130362,0.00130909,0.00000547,3,0.08018567,0.07409422,0.080188405,0.074096955,12,10,0.000002735,0.59667843,0.59620099,0.596681165,0.596198255,27.5,24.5,0.000002735,0
0,0.0877387,0.0877387,1,0.10695254,0,0.10695254,0,2,0,0,0,0,0,0,0,0,0,0
