0.979955,0.98,0.000045,5,352.031,0,352.031,0,2,0,0,90.20954944,117.53805,90.20956069,117.5380415,47.25,59.49527292,0.00001125,4,1,0.8,1.6,0.00172117,4,0
0.00051,0.00051546,0.00000546,3,130.1180843,312.1506216,131.4347074,315.366798,224394.8571,548701.3516,1.316623054,7.2908267,0,7.48034624,0,13263,0,0.18951954,1,2,0.333333333,0.333333333,0.004901961,95,0
8.57424253,8.57424253,0,386,78.31394888,320.8267446,78.31395526,320.8267695,179.95,454.4542964,6.39E-06,4.75E+05,0,4.75E+05,0,4333,0,0,1,9,0.002590674,0.002590674,0.160766347,132,1
0,0.007,0.007,1,0.01409858,0.00183858,0.01409858,0.00183858,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0.000801282,1,0
1,1,0,2,9.76076397,14.20333886,9.76076397,14.20333886,51.28571429,88.78660498,0,0,0,0,0,0,0,0,0,2,0,0,0.000794281,19,1
0,0.00000991,0.00000991,1,0.287032863,0.534225232,0.287032863,0.534225232,7.333333333,11.92569588,0,0,0,0,0,0,0,0,0,1,0,0,0.000666667,15,0
1,1,0,2,46.76611785,204.1863756,46.76611785,204.1863756,173.4761905,764.8535259,0,25.00500803,24.99499197,25.00500803,24.99499197,2,0,0,1,1,0.5,1,0.001099505,40,1
3,3,0,2,1.11E+05,4.70E+05,1.11E+05,4.70E+05,10326.89474,43804.5828,0.028804319,100.0052199,99.99478012,100.0052199,99.99478012,2,0,0,1,1,0.5,1,0.00123533,39,1
7,7,0,2,1.501943336,2.009437478,1.501943336,2.009437478,2.217391304,0.586553807,0,0,0,0,0,0,0,0,0,2,0,0,0.001112347,40,1
0,0.00005,0.00005,1,0.000823,0,0.000823,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000825764,0,0
0,0.00146185,0.00146185,1,0.03160875,0,0.03160875,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000660939,0,0
1,1,0,2,1.92309796,0,1.92309796,0,2,0,0,0.99988359,0,0.99988359,0,2,0,0,1,1,0.5,0.5,0.001286174,0,1
0.08921281,0.091,0.00178719,4,2.65049,0,2.65049,0,2,0,0,77.60730515,129.5043393,77.60775194,129.5040719,52.25,83.58341642,0.000446798,3,1,0.75,1.5,0.001594261,2,0
0,0.00173002,0.00173002,1,0.00836419,0,0.00836419,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.005154639,0,0
0.01236798,0.01244442,0.00007644,42,1.08E+04,1.08E+04,1.10E+04,1.10E+04,1747972.5,1732403.5,236.0357691,2.16E+04,0,2.21E+04,0,3480376,0,472.0715383,4,6,0.095238095,0.19047619,0.125748503,28,0
0,50.00000547,50.00000547,2,17.93595706,0,17.93595706,0,2,0,0,0,0,50.00000547,0,2,0,50.00000547,0,2,0,0,0.000877963,0,0
0.00000546,0.00001092,0.00000546,3,118.9629487,165.303824,119.8333768,166.5345013,50244.33333,53732.36183,0.87042807,176.8686762,175.8652255,178.4180637,176.9267346,107937.5,17316.5,1.54938744,1,2,0.333333333,0.666666667,0.006198347,2,0
1.25,1.25,0,2,256.1534827,0,256.1534827,0,2,0,0,8.80920716,0,8.80920716,0,11,0,0,1,1,0.5,0.5,0.001120448,0,1
0,0.00000001,0.00000001,1,0.82640203,0,0.82640203,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000284819,0,0
0.12549833,0.12645672,0.00095839,15,6.86E+03,3.56E+04,6.86E+03,3.56E+04,3142.22,15707.92782,0.043693247,2.32E+04,3.28E+04,2.32E+04,3.28E+04,40581,57387.37215,0,2,8,0.133333333,0.266666667,0.011609907,469,0
0,0.0164693,0.0164693,1,0.90708203,0,0.90708749,0,33,0,0.00000546,0,0,0,0,0,0,0,0,1,0,0,0.001118568,0,0
0.5,0.5,0,2,1.465280536,1.576386942,1.465280536,1.576386942,2.1,0.435889894,0,25.00501808,24.99498192,25.00501808,24.99498192,2,0,0,1,1,0.5,1,0.001112347,38,1
1,1,0,2,1.85111348,0,1.85111348,0,2,0,0,0.99975235,0,0.99975235,0,2,0,0,1,1,0.5,0.5,0.001214329,0,1
2.5,2.5,0,2,17.4001978,61.85295326,17.4001978,61.85295326,2.3,0.953939201,0,1.29E+03,1.29E+03,1.29E+03,1.29E+03,63.5,61.5,0,1,1,0.5,1,0.001214329,38,1
0.02896554,0.03048024,0.0015147,7,0.163204454,0.267085002,0.163204454,0.267085002,2,0,0,1.003015257,1.76741087,1.003267707,1.767271826,15.16666667,4.844813951,0.00025245,5,2,0.857142857,1.714285714,0.012658228,47,0
0,0.00042764,0.00042764,1,0.02579604,0.02476511,0.02579604,0.02476511,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.002702703,1,0
0.5,0.5,0,2,381.8648395,0,381.8648395,0,2,0,0,0.8977198,0,0.8977198,0,4,0,0,1,1,0.5,0.5,0.001506024,0,1
5.1,5.1,0,2,4.261630692,1.768880407,4.261630692,1.768880407,2.166666667,0.552770798,0,25.00500124,24.99499877,25.00500124,24.99499877,2,0,0,1,1,0.5,1,0.001144165,22,1
2,2,0,2,7.972660208,16.93710807,7.972664208,16.93711704,11.16,29.77472754,0.000004,2.67E+03,2.67E+03,2.67E+03,2.67E+03,113,111,0.000005,1,1,0.5,1,0.000746547,43,1
1.25,1.25,0,2,352.5792394,0,352.5792394,0,2,0,0,3.43825149,0,3.43825149,0,6,0,0,1,1,0.5,0.5,0.001138952,0,1
