0,0.00000587,0.00000587,1,0.00007326,0,0.00007326,0,2,0,0,0,0,0,0,0,0,0,0.000537924,0
0.913,0.913,0,2,0.92,0,0.92,0,2,0,0,0.91289408,0,0.91289408,0,2,0,0,0.001249219,1
8.46,8.46,0,6,41.14796363,178.5114601,41.14797665,178.5115191,96.94666667,483.6168151,1.30193E-05,0,0,0,0,0,0,0,0.002373418,1
0,0.00000546,0.00000546,1,0.08215714,0,0.08215714,0,129,0,0,0,0,0,0,0,0,0,0.001398601,0
1,1,0,2,1.15645776,0,1.15645776,0,2,0,0,3.24946166,0,3.24946166,0,6,0,0,0.001158749,1
0,0.00146032,0.00146032,1,0.20264486,0,0.23386024,0,8,0,0.03121538,0,0,0,0,0,0,0,0.00077821,0
1.25,1.25,0,2,2.48720008,0,2.48720008,0,2,0,0,2.49949505,0,2.49949505,0,4,0,0,0.001133787,1
0,0.00104512,0.00104512,1,0.17999982,0,0.17999982,0,7,0,0,0,0,0,0,0,0,0,0.000749625,0
0,0.00312048,0.00312048,1,0.00456014,0,0.00456014,0,2,0,0,0,0,0,0,0,0,0,0.000705219,0
38.69908612,38.69908612,0,164,155.2471983,1.07E+03,155.2472053,1.07E+03,157.975,453.7883769,6.98083E-06,0,0,0,0,0,0,0,0.06466877,1
3.6,3.6,0,6,11.59005968,24.94988011,11.59005968,24.94988011,12.15,30.94555703,0,4.199620577,3.661688175,4.199620577,3.661688175,2,0,0,0.003508772,1
0,0.00921424,0.00921424,1,0.0325,0,0.0325,0,2,0,0,0,0,0,0,0,0,0,0.001666667,0
1,1,0,2,4.46446263,0,4.46446263,0,2,0,0,0.9998016,0,0.9998016,0,2,0,0,0.001306336,1
0,0.00003807,0.00003807,1,0.00107311,0,0.00107311,0,2,0,0,0,0,0,0,0,0,0,0.001031992,0
2,2,0,2,19.43723703,0,19.43723703,0,2,0,0,3.24963086,0,3.24963086,0,4,0,0,0.001170275,1
0.5,0.5,0,2,0.762333511,0.73374982,0.762333511,0.73374982,2.333333333,1.490711985,0,0,0,0,0,0,0,0,0.001117318,1
1.25,1.25,0,2,1.1227,0,1.2501,0,3,0,0.1274,1.91011874,0,1.91011874,0,4,0,0,0.001133144,1
2,2,0,2,4.05632047,4.320745416,4.05632047,4.320745416,2.6,1.529705854,0,0,0,0,0,0,0,0,0.001209921,1
0,0.00148477,0.00148477,1,0.007306535,0.001942385,0.007306535,0.001942385,2,0,0,0,0,0,0,0,0,0,0.000691563,0
0,0.01001265,0.01001265,1,0.65487954,0,0.65487954,0,28,0,0,0,0,0,0,0,0,0,0.001886792,0
1,1,0,2,2.74559837,0,2.74559837,0,2,0,0,1.97062056,0,1.97062056,0,6,0,0,0.00128866,1
0.0478531,0.0478531,0,2,0.02176735,0.019979561,0.02176735,0.019979561,2,0,0,0,0,0.03154903,0.02224202,1,0,0.03154903,0.001313198,0
2,2,0,2,5.25378529,11.14494081,5.25378529,11.14494081,10.54166667,38.69859942,0,0,0,0,0,0,0,0,0.00075358,1
0,0.04493293,0.04493293,1,0.05859516,0,0.05859516,0,2,0,0,0,0,0,0,0,0,0,0.003802281,0
86.40750979,86.40750979,0,73,26.76733028,44.90465562,26.77318347,44.90281162,27.625,62.29353397,0.005853189,91.93611487,36.64601085,91.93779703,36.64537815,121,93.79232378,0.001682158,0.030736842,1
4,4,0,2,2.230622043,2.023241531,2.230622043,2.023241531,2.545454545,1.07565087,0,0,0,0,0,0,0,0,0.001109262,1
2.5,2.5,0,2,1.24E+03,5.54E+03,1.24E+03,5.54E+03,155.0952381,683.097839,0,0,0,0,0,0,0,0,0.001215067,1
1,1,0,2,1.696794054,2.011393667,1.696794054,2.011393667,2.761904762,2.990536851,0,0,0,0,0,0,0,0,0.00110011,1
0,0.03445,0.03445,17,5.408125145,13.70060016,5.408125145,13.70060016,2,0,0,0,0,0,0,0,0,0,0.01901566,0
0.7154,0.7154,0,2,0.7155,0,0.7519369,0,2,0,0.0364369,5.07669322,0,5.07669322,0,8,0,0,0.001137656,1
6,6,0,8,28.26787486,87.41209167,28.26787486,87.41209167,21.28125,63.8700998,0,3.788665666,4.1253217,3.788665666,4.1253217,2,0,0,0.004637681,1
0.091351,0.25376128,0.16241028,4,5.910398343,4.286873209,5.910398343,4.286873209,2,0,0,0.045272925,0.045272925,0.04566985,0.044876,1.5,0.5,0.000396925,0.003809524,0
0,0.00002,0.00002,1,0.01087776,0,0.01087776,0,3,0,0,0,0,0,0,0,0,0,0.00040032,0
0,0.012968,0.012968,1,1.7998,0,1.7998,0,3,0,0,0,0,0,0,0,0,0,0.00049776,0
22.18685518,22.18685518,0,12,23.15899683,26.38787234,23.15973858,26.38766279,15.07407407,19.81754914,0.000741748,143.331652,107.1941764,143.3322924,107.1945196,45.5,55.9352304,0.000640433,0.005780347,1
2.5,2.5,0,2,17.4001978,61.85295326,17.4001978,61.85295326,2.3,0.953939201,0,1.29E+03,1.29E+03,1.29E+03,1.29E+03,63.5,61.5,0,0.001212121,1
0,0.00995892,0.00995892,1,0.012469,0,0.012469,0,2,0,0,0,0,0,0,0,0,0,0.000804505,0
3,3,0,4,1.513496232,1.391078258,1.513496232,1.391078258,2.526315789,1.093926826,0,1.19E+03,1.19E+03,1.19E+03,1.19E+03,31.5,29.5,0,0.002235886,1
0,0.000055,0.000055,1,0.151666,0,0.151666,0,2,0,0,0,0,0,0,0,0,0,0.00041876,0
1.25,1.25,0,2,0.45571966,0.287685235,0.45571966,0.287685235,2,0,0,8.80920716,0,8.80920716,0,11,0,0,0.001142204,1
0,0.00000958,0.00000958,1,0.00071531,0,0.00071531,0,2,0,0,0,0,0,0,0,0,0,0.001124859,0
2.5,2.5,0,2,2.376111574,0.83195375,2.376111574,0.83195375,2.2,0.871779789,0,25.00811016,24.99188985,25.00811016,24.99188985,2,0,0,0.001220256,1
0.00917618,0.00917618,0,2,0.024112224,0.062696987,0.024112224,0.062696987,2,0,0,0.07929961,0.07596941,0.07929961,0.07596941,2,0,0,0.014084507,0
0,0.00005957,0.00005957,1,0.15158745,0,0.15158745,0,67,0,0,0,0,0,0,0,0,0,0.000631712,0
0,0.1,0.1,1,259.4141146,0,259.4148605,0,868,0,0.00074592,0,0,0,0,0,0,0,0.004484305,0
0.4,0.4,0,2,462.9794867,0,462.9794867,0,2,0,0,1.3483406,0,1.3483406,0,4,0,0,0.001478197,1
0.8313,0.8313,0,2,0.84032768,0,0.84032768,0,2,0,0,0.83111973,0,0.83111973,0,2,0,0,0.001222494,1
0,0.0375006,0.0375006,1,0.38742948,0,0.38742948,0,2,0,0,0,0,0,0,0,0,0,0.001550388,0
0.676,0.676,0,2,0.78592841,0.23401115,0.78592841,0.23401115,2,0,0,3.27583912,0,3.27583912,0,6,0,0,0.001286174,1
0,0.00185955,0.00185955,1,0.00864897,0,0.00864897,0,2,0,0,0,0,0,0,0,0,0,0.001137656,0
0.50071496,0.50071496,0,2,0.607730971,0.198065286,0.607730971,0.198065286,2.571428571,1.529750324,0,0,0,0,0,0,0,0,0.001100715,1
0,0.00000001,0.00000001,1,0.122451,0,0.122451,0,2,0,0,0,0,0,0,0,0,0,0.000351,0
7,7,0,2,3.203308713,3.262583844,3.203308713,3.262583844,2.4,1.019803903,0,1.08E+03,1.08E+03,1.08E+03,1.08E+03,59.5,57.5,0,0.001133144,1
0.9799,0.9799,0,2,0.512035,0.219315,0.512035,0.219315,2,0,0,0.97973069,0,0.97973069,0,2,0,0,0.001261034,1
0,0.00173,0.00173,1,0.01171547,0,0.01171547,0,2,0,0,0,0,0,0,0,0,0,0.000853242,0
0,0.00000546,0.00000546,1,0.13308098,0,0.13308098,0,232,0,0,0,0,0,0,0,0,0,0.003095975,0
0.00368866,0.0038065,0.00011784,5,0.56771052,0.416141978,0.56771052,0.416141978,2,0,0,0.00198301,0.001243436,0.00202229,0.001297387,3,1.414213562,0.00003928,0.004366812,0
2.51,2.51,0,4,1.61E+05,5.34E+05,1.61E+05,5.34E+05,27925.45833,92611.05935,0.433771452,25.05718661,43.26832665,25.05718661,43.26832665,2,0,0,0.002523659,1
1.0408,1.0408,0,2,73.32004082,0,73.32004082,0,2,0,0,1.04058183,0,1.04058183,0,2,0,0,0.001218769,1
0.8,0.8,0,2,2.0195,0,2.0195,0,2,0,0,2.16293567,0,2.16293567,0,4,0,0,0.001320132,1
4,4,0,2,3.146916628,1.834430093,3.146916628,1.834430093,2.789473684,1.608495452,0,60.0050005,59.99499951,60.0050005,59.99499951,2,0,0,0.001252348,1
5,5,0,2,2.399250792,1.876971623,2.399250792,1.876971623,2.833333333,1.462494065,0,14.04069164,14.02930837,14.04069164,14.02930837,2,0,0,0.001173021,1
0,0.29170994,0.29170994,1,73.29170994,0,73.29170994,0,2,0,0,0,0,0,0,0,0,0,0.000287687,0
0,0.00093333,0.00093333,1,0.16226348,0,0.16226348,0,2,0,0,0,0,0,0,0,0,0,0.000712251,0
0,0.000006,0.000006,1,0.469156,0,0.59940616,0,4429,0,0.13025016,0,0,0,0,0,0,0,0.000769231,0
1,1,0,2,20.95307435,0,20.95307435,0,2,0,0,1.99915293,0,1.99915293,0,4,0,0,0.001297859,1
0.00024881,0.00024881,0,2,0.063080398,0.038827745,0.063080398,0.038827745,2,0,0,0.06207422,0,0.06207422,0,2,0,0,0.012738854,0
0,0.00000001,0.00000001,1,0.82640203,0,0.82640203,0,2,0,0,0,0,0,0,0,0,0,0.000284576,0
2,2,0,2,8.454469408,26.33405496,8.454469408,26.33405496,6.8,19.80555478,0,1.29E+03,1.29E+03,1.29E+03,1.29E+03,63.5,61.5,0,0.001226994,1
0,0.0094374,0.0094374,1,0.02537887,0,0.112795,0,6,0,0.08741613,0,0,0,0,0,0,0,0.000784929,0
30.32480678,30.32480678,0,89,149.6160459,1.11E+03,149.6160547,1.11E+03,188.4711538,439.6112346,8.83913E-06,4.75E+05,0,4.75E+05,0,4333,0,0,0.035080804,1
0.5,0.5,0,2,3.21E+03,1.44E+04,3.21E+03,1.44E+04,1051.142857,4689.673542,0,0,0,0,0,0,0,0,0.001115449,1
1,1,0,2,4.540253492,11.04166466,4.540253492,11.04166466,2.523809524,1.138881976,0,0,0,0,0,0,0,0,0.001119821,1
0.00013,0.00022,0.00009,4,0.00019,0,0.00019,0,2,0,0,0.000065,0.000065,0.000125,0.000095,2.5,1.5,0.00006,0.002172732,0
0,0.00021953,0.00021953,6,0.364222259,0.441189091,0.364222259,0.441189091,4.820512821,4.390384569,0,0,0,0,0,0,0,0,0.009584665,0
4,4,0,2,1.776468657,0.981055767,1.776468657,0.981055767,2.045454545,0.208298895,0,0,0,0,0,0,0,0,0.001236858,1
0.9979,0.9979,0,2,1.04214432,0,1.04214432,0,2,0,0,2.25253338,0,2.25253338,0,4,0,0,0.00123533,1
0.00187886,0.00187886,0,2,0.00304269,0,0.00304269,0,2,0,0,0.00083627,0.00010739,0.00083627,0.00010739,2,0,0,0.017391304,0
0,0.00000631,0.00000631,1,0.0076536,0,0.0076536,0,2,0,0,0,0,0,0,0,0,0,0.000791766,0
1.13976642,1.13976642,0,4,7.380291293,11.86879669,7.380291293,11.86879669,6.133333333,4.978174587,0,5.03651771,4.667745132,5.03651771,4.667745132,2,0,0,0.002318841,1
0,0.00160315,0.00160315,6,92.6168916,347.9653163,92.61732022,347.9652954,1876.842105,5622.198055,0.000428621,0,0,0,0,0,0,0,0.003194888,0
0,0.00024194,0.00024194,1,0.123344323,0.035721987,0.123456408,0.035764302,29.5,6.291528696,0.000112085,0,0,0,0,0,0,0,0.000706714,0
2,2,0,2,2.510998571,1.247145182,2.510998571,1.247145182,2.136363636,0.456812528,0,0,0,0,0,0,0,0,0.001231527,1
1.25,1.25,0,2,1.5,0,1.5,0,2,0,0,2.49962647,0,2.49962647,0,4,0,0,0.001168907,1
0,0.00000546,0.00000546,1,0.77580777,0,0.81996955,0,2506,0,0.04416178,0,0,0,0,0,0,0,0.002331002,0
0,0.00076486,0.00076486,1,0.038076851,0.040067004,0.038076851,0.040067004,2,0,0,0.221754845,0.221754845,0.230994805,0.230441855,39,38,0.00923996,0.015384615,0
0,0.005,0.005,1,0.01002072,0,0.01002072,0,2,0,0,0,0,0,0,0,0,0,0.001633987,0
0,0.00085851,0.00085851,1,0.00889616,0,0.00889616,0,2,0,0,0,0,0,0,0,0,0,0.010526316,0
1,1,0,2,40.47005847,0,40.47005847,0,2,0,0,0.99988982,0,0.99988982,0,2,0,0,0.001258653,1
