0,0.34753948,0.34753948,3,0,0,0,0,0,0,0,121.0779919,274.7904678,134.0821448,284.2667565,122.3793103,193.7260622,13.00415282,0.001310616,0,,,,,,,,,,,,,,,,,,,,
0,0.00529258,0.00529258,1,0.0236,0,0.0236,0,4,0,0,0,0,0,0,0,0,0,0.001106195,0,,,,,,,,,,,,,,,,,,,,
0,0.00091642,0.00091642,1,0.06331059,0,0.06331059,0,71,0,0,0,0,0,0,0,0,0,0.002624672,0,,,,,,,,,,,,,,,,,,,,
0.27524419,0.27877158,0.00352739,33,8.48E+04,7.73E+05,8.48E+04,7.73E+05,5615.455556,31877.48714,0.004518289,5.05E+06,0,5.05E+06,0,108580,0,1.57E+03,0.02403496,0,,,,,,,,,,,,,,,,,,,,
3.08,3.08,0,2,17.48618008,41.97555872,17.48630207,41.97609141,11.42857143,29.18344513,0.000121987,403.2310964,202.4489036,403.2323773,202.4476227,72,68,0.001280865,0.001006543,1,,,,,,,,,,,,,,,,,,,,
1,1,0,2,0.131312306,0.058944334,0.131312306,0.058944334,2,0,0,2.1373233,0,2.1373233,0,4,0,0,0.001182033,1,,,,,,,,,,,,,,,,,,,,
0.00032532,0.00032532,0,2,0.015218423,0.014603857,0.015218423,0.014603857,3,1,0,0,0,0.01631,0,1,0,0.01631,0.016806723,0,,,,,,,,,,,,,,,,,,,,
1.25,1.25,0,2,1.34727036,0,1.34727036,0,2,0,0,1.49958043,0,1.49958043,0,4,0,0,0.001148765,1,,,,,,,,,,,,,,,,,,,,
0.00130613,0.00130613,0,2,3.941424486,11.22376681,3.941794564,11.22368113,45.7,87.97732662,0.000370078,0,0,0,0,0,0,0,0.002785515,0,,,,,,,,,,,,,,,,,,,,
1.2,1.2,0,2,19.65354051,42.2747377,19.65354051,42.2747377,16.71428571,31.21681912,0,4.21420472,4.20579528,4.21420472,4.20579528,2,0,0,0.001186944,1,,,,,,,,,,,,,,,,,,,,
0,0.00047112,0.00047112,1,0.01094628,0,0.01094628,0,2,0,0,0,0,0,0,0,0,0,0.000812348,0,,,,,,,,,,,,,,,,,,,,
0,0.00182224,0.00182224,11,1.29E+03,0,1.29E+03,0,35342,0,0.00034296,0,0,0,0,0,0,0,0.004268529,0,,,,,,,,,,,,,,,,,,,,
0.00024679,0.00024679,0,2,0.044472258,0.059454292,0.044472258,0.059454292,3.2,2.4,0,0.002831635,0.002831635,0.00284127,0.002822,1.5,0.5,0.000009635,0.018867925,0,,,,,,,,,,,,,,,,,,,,
1,1,0,2,2.237977509,1.81983618,2.237977509,1.81983618,2.55,1.160818677,0,1.19E+03,1.19E+03,1.19E+03,1.19E+03,31.5,29.5,0,0.001112966,1,,,,,,,,,,,,,,,,,,,,
3.6,3.6,0,6,3.268488046,7.286786398,3.268488046,7.286786398,5.678571429,12.57279822,0,4.944950143,4.84336711,4.944950143,4.84336711,2,0,0,0.003506721,1,,,,,,,,,,,,,,,,,,,,
1.2,1.2,0,2,1.725113163,2.867622336,1.725113163,2.867622336,20.84615385,51.07889246,0,4.70085947,4.29914053,4.70085947,4.29914053,2,0,0,0.001158078,1,,,,,,,,,,,,,,,,,,,,
0.8,0.8,0,2,79.64067744,67.80973203,79.64067744,67.80973203,837,241,0,1.59925003,0,1.59925003,0,4,0,0,0.001253133,1,,,,,,,,,,,,,,,,,,,,
0,0.0000548,0.0000548,1,0.26246129,0,0.26246129,0,2,0,0,0,0,0,0,0,0,0,0.000552792,0,,,,,,,,,,,,,,,,,,,,
0.00008,0.00011,0.00003,2,0.00019,0,0.00019,0,2,0,0,0.000065,0.000015,0.000395,0.000285,11.5,9.5,0.00033,0.001204819,0,,,,,,,,,,,,,,,,,,,,
0,0.000887,0.000887,1,0.073,0,0.073,0,2,0,0,0,0,0,0,0,0,0,0.00062383,0,,,,,,,,,,,,,,,,,,,,
0.673,0.673,0,2,0.7348196,0,0.7348196,0,2,0,0,1.67180055,0,1.67180055,0,4,0,0,0.001277139,1,,,,,,,,,,,,,,,,,,,,
0.00052033,0.00052033,0,2,0.969040755,4.33133885,0.969040755,4.33133885,2,0,0,0,0,0,0,0,0,0,0.015037594,0,,,,,,,,,,,,,,,,,,,,
0,0.01931935,0.01931935,1,1.40E+05,5.94E+05,1.40E+05,5.94E+05,16256.05263,68759.54468,44.0625533,0,0,0,0,0,0,0,0.000812348,0,,,,,,,,,,,,,,,,,,,,
0,0.00003093,0.00003093,1,0.0057941,0,0.0057941,0,2,0,0,0,0,0,0,0,0,0,0.004016064,0,,,,,,,,,,,,,,,,,,,,
18.26185394,18.26185394,0,44,231.1062307,1.43E+03,231.1062437,1.43E+03,203.7364341,1258.866468,1.30E-05,0,0,0,0,0,0,0,0.01540077,1,,,,,,,,,,,,,,,,,,,,
0.6331,0.6331,0,4,29.35476477,0,29.35478268,0,63,0,0.00001791,0.31870667,0.30110897,0.31870667,0.30110897,3,1,0,0.002679169,1,,,,,,,,,,,,,,,,,,,,
0.7338,0.7338,0,2,379.2599406,0,379.2599406,0,530,0,0,2.73340583,0,2.73340583,0,4,0,0,0.001186944,1,,,,,,,,,,,,,,,,,,,,
6.77959302,6.77959302,0,12,135.7829501,768.8162094,135.7829601,768.8162507,168.1132075,1122.659077,1.01E-05,0,0,0,0,0,0,0,0.004526594,1,,,,,,,,,,,,,,,,,,,,
1,1,0,2,190.0220744,0,190.0220744,0,2,0,0,0.99983472,0,0.99983472,0,2,0,0,0.00135318,1,,,,,,,,,,,,,,,,,,,,
0,0.08717515,0.08717515,1,1.33E+05,5.79E+05,1.33E+05,5.79E+05,15310.05,66118.72037,92.57496973,0,0,0,0,0,0,0,0.000867303,0,,,,,,,,,,,,,,,,,,,,
0.50000229,0.50000229,0,2,75.41901599,235.4948497,75.41901599,235.4948497,214.5714286,671.3243181,0,0,0,0,0,0,0,0,0.001109878,1,,,,,,,,,,,,,,,,,,,,
0,0.00000938,0.00000938,1,0.001192,0,0.001192,0,2,0,0,0,0,0,0,0,0,0,0.001057082,0,,,,,,,,,,,,,,,,,,,,
1.25,1.25,0,2,14.429174,13.463374,14.429174,13.463374,11,9,0,3.88106437,0,3.88106437,0,6,0,0,0.001133144,1,,,,,,,,,,,,,,,,,,,,
0,0.00050892,0.00050892,4,22.23933708,30.37644626,22.23933708,30.37644626,528.6666667,851.9455512,0,0,0,0,0,0,0,0,0.001986097,0,,,,,,,,,,,,,,,,,,,,
0.0107,0.01070002,0.00000002,8,0.450160771,3.304127907,0.450162412,3.304127752,46.19672131,213.6391795,1.64E-06,0.809325,0.899509203,0.809325,0.899509203,6.5,2.5,0,0.002669336,0,,,,,,,,,,,,,,,,,,,,
0,0.00019742,0.00019742,1,726.5753555,0,726.5753555,0,2098,0,0,0,0,0,0,0,0,0,0.000484262,0,,,,,,,,,,,,,,,,,,,,
0,0.01000185,0.01000185,1,1.810272833,1.460158019,1.9141395,1.505989533,8,3.741657387,0.103866667,0,0,0,0,0,0,0,0.000560224,0,,,,,,,,,,,,,,,,,,,,
0,0.00019,0.00019,1,0.76625,0,1.00322,0,67,0,0.23697,0,0,0,0,0,0,0,0.000685401,0,,,,,,,,,,,,,,,,,,,,
3,3,0,2,3.63E+04,1.62E+05,3.63E+04,1.62E+05,1204.142857,5373.239674,0,0,0,0,0,0,0,0,0.001241465,1,,,,,,,,,,,,,,,,,,,,
0,0.000113,0.000113,1,0.0005,0,0.0005,0,2,0,0,0,0,0,0,0,0,0,0.000586166,0,,,,,,,,,,,,,,,,,,,,
0.8,0.8,0,2,1.14E+03,1.61E+03,1.14E+03,1.61E+03,757.6666667,1009.010186,0,0.79987366,0,0.79987366,0,2,0,0,0.001228501,1,,,,,,,,,,,,,,,,,,,,
0,0.00000958,0.00000958,1,0.00071531,0,0.00071531,0,2,0,0,0,0,0,0,0,0,0,0.001124859,0,,,,,,,,,,,,,,,,,,,,
0,0.00079586,0.00079586,1,0.56401,0,0.56401,0,2,0,0,0,0,0,0,0,0,0,0.000868056,0,,,,,,,,,,,,,,,,,,,,
0,0.09390594,0.09390594,1,0.588,0,0.588,0,3,0,0,0,0,0,0,0,0,0,0.000758725,0,,,,,,,,,,,,,,,,,,,,
0,0.0000757,0.0000757,1,0.0002,0,0.0002,0,2,0,0,0,0,0,0,0,0,0,0.000640205,0,,,,,,,,,,,,,,,,,,,,
1,1,0,2,1.341202506,1.205916774,1.341202506,1.205916774,2,0,0,78.0558259,78.0441741,78.0558259,78.0441741,2,0,0,0.001116071,1,,,,,,,,,,,,,,,,,,,,
14.48526303,14.48526303,0,534,8.62E+03,7.02E+04,8.62E+03,7.02E+04,809.3970588,4084.079283,0.006095938,1.47203419,0,1.47203419,0,2,0,0,0.2085123,1,,,,,,,,,,,,,,,,,,,,
0.7728,0.7728,0,2,0.77645,0,0.77645,0,2,0,0,0.7726466,0,0.7726466,0,2,0,0,0.001204819,1,,,,,,,,,,,,,,,,,,,,
0,0.00133577,0.00133577,1,0.003186585,0.000843125,0.003186585,0.000843125,2,0,0,0,0,0,0,0,0,0,0.00095511,0,,,,,,,,,,,,,,,,,,,,
0,0.00177761,0.00177761,1,24.89192191,0,24.89192191,0,4,0,0,0,0,0,0,0,0,0,0.005154639,0,,,,,,,,,,,,,,,,,,,,
1,1,0,2,157.099702,0,157.099702,0,2,0,0,4.91302614,0,4.91302614,0,8,0,0,0.001171646,1,,,,,,,,,,,,,,,,,,,,
0,0.00002648,0.00002648,1,0.12529879,0,0.12529879,0,2,0,0,0,0,0,0,0,0,0,0.000738552,0,,,,,,,,,,,,,,,,,,,,
0,0.00041552,0.00041552,1,0.498721832,0.746618882,0.500397746,0.748462002,84.8,123.6590474,0.001675914,0,0,0,0,0,0,0,0.000720461,0,,,,,,,,,,,,,,,,,,,,
0,0.06199673,0.06199673,1,0.0665514,0,0.0665514,0,2,0,0,0,0,0,0,0,0,0,0.008547009,0,,,,,,,,,,,,,,,,,,,,
0,0.00009929,0.00009929,1,0.0043944,0,0.00939436,0,19,0,0.00499996,0,0,0,0,0,0,0,0.001960784,0,,,,,,,,,,,,,,,,,,,,
