122MvWAve3rh7PmJf6cjdKJTWdcjo3oRgK,FALSE,0,193424,193424,1,3250000,2750000,3350000,2850000,2.5,0.5,100000,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.004201680672268907,1,1
112J5z2qDMm4EkMXfAdL3EmtDpmRKc9jMo,FALSE,0,546,546,1,89431776159,0,90364891090,0,1567734,0,933114931,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0011947431302270011,0,1
1135ZmfarGGgjYF1BBsLgRq1V1S2fygTxg,FALSE,0,3677865,3677865,1,1.97E+12,0,1.97E+12,0,21766,0,600122245,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.001095290251916758,0,1
113j7bsWe7bVA3rDNq8LeNJwDF1RBeAGQn,FALSE,23534,23534,0,2,108438899,482334430.1,108497416.7,482321359.6,22.47619048,16.34339548,58517.66667,0,0,0,0,0,0,0,2,0,2,0.0,0.0,0.008849557522123894,19,1
112J7nQ2TVRg7YHqbDtmUVadXP5tJ6Zeap,FALSE,0,27902,27902,1,19618,1582,19618,1582,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0013404825737265416,1,1
111111111BumHKnZ2jXw2mbmHrRwJ3h,FALSE,0,5500,5500,1,70424000,0,70424000,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.000425531914893617,0,1
112ZX38Gza2Dp53SJTFEvCtf6djXndLAYY,FALSE,0,620000,620000,1,6653221,0,6653221,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0008389261744966443,0,1
113ezDDVmR1dAjfUUJMkVfixJfjXNj46ST,FALSE,0,360000,360000,1,4983400,0,4983400,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0010319917440660474,0,1
112tKALrhCvtCmRyZW7WcZXbEzk73qKe4K,FALSE,546,1146,600,2,8969536997,8956551056,8997756936,8984770995,131810.5,127278.5,28219939,5979691513,8447379667,5998505006,8473985534,87874.33333,121081.176,18813492.67,2,1,1,0.5,1.5,0.006269592476489028,3,1
113AKpywqQ3tEQA7fDNxKcmwHcqqT4LPXG,FALSE,0,5310,5310,1,220000,0,220000,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0006743088334457181,0,1
113LKgxVZj71PNQWPnRUKq5Ray2dn1XBbq,FALSE,1185863,9814660,8628797,19,4.32E+13,4.32E+13,4.32E+13,4.32E+13,2356.5,2354.5,0,1500000,1500000,1589991,1410009,1.5,0.5,89991,25,2,8,1.0,1.1578947368421053,0.5757575757575758,146,0
