wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
112Fk41hCZYsaVVL89YQLZFwpgKVfQJaP1,FALSE,76360,76360,0,2
113qpJfq4XGzLxBsVSsr54aDhzT1avsPXL,FALSE,2896554,3048024,151470,7
1131hpq5ub584JmtrmRyPQpjFrCLFqHBAR,FALSE,0,3953498,3953498,1
113ah6G9R5CpQ1jJN7VYS5cEn9Eosq2Jvx,FALSE,0,34680041,34680041,8
112fK4ME19Xp9NYmokhpjLwnoQiHx2iw7D,FALSE,3860542,3860542,0,2
113yn1m2Se48qvWXZPoJ36pu4hJcrzwCcG,FALSE,917618,917618,0,2
113AWvYWLdmasqaGhbhUjzzCLStY2o7Pg,FALSE,0,998244,998244,1
113upEEMVTG6kzYK3dMjifhvXUD3EcRuvV,FALSE,77942601,77942602,1,21
113c8xBMqTZ6z8BvtFMhrsmkbFMJrZTCFS,FALSE,144000,144000,0,2
113xy6EYz4rEkVVyBtBy4ywTzQfQELnBCo,FALSE,7229985,7229985,0,2
113WdwjMs9ptgSw7gAmQv3rJTHHfVS1HiH,FALSE,7182880,7187400,4520,10
113hmccdy4A6LXqZ5VkBUbmwXaviiMAuDi,FALSE,0,3279,3279,1
1127uinFrNC4xNqZYj22augem3CorqNw58,FALSE,5479717,5674633,194916,3
112czuyqTZtbzqeksVvmA7eFubiDJoCRCz,FALSE,0,2628,2628,1
113dHb1sCHaa1wUZh4BCkN46jZcPERUsMa,FALSE,0,2559,2559,1
113X2663JEF6aEgyHqXarzsYJmkvsNmhRN,FALSE,810796,810797,1,3
113UoDq8k6SwnSVnnmZwp1rMQubrHc3imd,FALSE,290000000,290000000,0,2
113PtutJFmuVvDRidAjkwxGcfaceym6FhK,FALSE,0,25114,25114,1
11259Ry5ag2Gtqf7MsNJ2j3xHyqKst2qQU,FALSE,0,471525,471525,1
111nstitutedAmongMenXXXXXXXYkWtwg,FALSE,0,1,1,1
1138cruEHLYuijGm4p8e4ZXddsxDHwp9Jc,FALSE,0,8717515,8717515,1
1134J2LtWxQBC8FzT2TXdVXUGnp8KaUDMo,FALSE,0,233527,233527,1
112W6NJTF44Dnc1VMmSjVLiLzXwvHRJNNJ,FALSE,1205549,1205550,1,3
112pvRGRwzd8qmSD1cHANqMdrb5Utpi6Hs,FALSE,0,5500,5500,1
112sxYiE63q2rxLY3DeJCQu5VY2WRfshDZ,FALSE,0,8333,8333,1
1124xdzsbDQTNA46yqm6dRV21ns5kkHTWi,FALSE,0,3921000,3921000,1
