wallet_address,malicious,malicious_type,bitcoin_spent,bitcoin_received,total_balance,total_transactions
14FWQ7WSHNFqLzQJvVRcuWyzNK3gu93yad,TRUE,4,1153,1153,0,2
1MKRCZzAAfg9Az9nD7ojZy1tdonwAar2XU,TRUE,4,32320,32320,0,6
1F5csJmyf3yJs5s25tZmYKoFXznR452er9,TRUE,4,79179695,79180695,1000,12
1Cvfn2C2vKwJ2fyDgUNKge5aqBc9NDJXQ3,TRUE,4,16902024,16902024,0,4
1AVoeWk9HMud7jpiP4sRQ4vS72YqcXwwM2,TRUE,4,11226724,11226724,0,2
1LTtPpCBNeUYsF8Jt7pHSmYRvkATuzeXFU,TRUE,4,7100000,7100000,0,2
1M3uh3QNTxVsK1MqR4cBdqajojUixCiwwq,TRUE,1,17000000,17000000,0,3
1Aq77aob4mxfgfuD7Cs12GN2gv82kBJmYW,TRUE,4,30144088,30144088,0,6
1GdegtNpYcvoCPsMmyiSkZARDdAmYuXGXU,TRUE,4,112031996,112031996,0,16
18sYDUVZ6kTkiNJrWTPFBZ7cCCxJR6TKae,TRUE,4,26121060,26121060,0,3
15AGyZEJaLMnUhJKMkuziPS4wwDsWBUHiP,TRUE,4,12711864,12711864,0,5
14ccJyKymCn8FcL5rhpAuuNEK3GUnjQtgx,TRUE,4,5501120,5501120,0,4
1Lj2TVzMeKHewh7HwJXMTEbYqjqt4pXECu,TRUE,4,2316980,2316980,0,6
1NAjmkXoLPogkGGFMygcV4qG6bXpz4DPuW,TRUE,4,1202,1202,0,2
1MG6kTyCzaGy7RjExyLG3Qz5mj3rcJJXUY,TRUE,4,19019859,19019859,0,6
1EAWduibTpvWvKGR1A8wvj1aBJLFUmRCQ5,TRUE,4,54743293,54743293,0,4
1EBMu3FdAXiEK52JkStPd99f5a7RNuJB7A,TRUE,4,53834727,53834727,0,13
1MsxQd6dfLoVm9isgfiPQDPofXCJZvW4st,TRUE,4,52474800,52474800,0,2
1DAPfbXMTXRWiHh4W2CD49J7UdEBDsWLXa,TRUE,4,12587130,12587130,0,2
1667E8aJSWCGayCxjezVSThSeaCQhMKrEf,TRUE,4,26145406,26145406,0,6
1G93wR2LDzd2euJ92ePbMGzZ2zpyDRWU4G,TRUE,4,69805745,69805745,0,13
1KGjDZ7RFV39r2q1JeSpZAF5L3fnpuenmT,TRUE,4,31533479,31533479,0,13
1CGRm1E219pMLjnhqSo2JhYjzKRiWA5KJ9,TRUE,4,15416,15416,0,2
1HBJE5XBsM8CK3gLQtzx8ofceKpp4mwPYU,TRUE,4,23671418,23671418,0,6
19D67Tgb3neJiTHd8pZDEBYmUn2qSjxEeB,TRUE,4,68020119,68020119,0,11
1BARBfTXdwaRenZjcG8t2LAsbQm6abfw13,TRUE,4,12470000,12470000,0,6
13xLLPyFQXYMFggCTfJsL1LpYt1VhnfH8n,TRUE,4,9845000,9845000,0,2
1D1DZAac5chXcvULdRAk8nbxB5HWWbffwc,TRUE,4,21851471,21851471,0,6
1EaqpQL5AoCb6iuPhiRx1urzDV1MUo9AWd,TRUE,4,47384385,47384385,0,12
1PLtH8HPHQLboeFvrBN2XJPJz99TxayGCo,TRUE,4,48966,48966,0,4
19vGYNQyE2fqAqZHmhGRyWiQt1oMpUY1x4,TRUE,4,22189,22189,0,4
1DBMVxzSPZ95FDyZfopwHgxncFEsp89uuS,TRUE,4,25883436,25883436,0,5
1EZS92K4xJbymDLwG4F7PNF5idPE62e9XY,TRUE,4,362048551,362048551,0,35
192CdbpYmpQhbpSZy5J9qyNE3YCxPpxdxv,TRUE,4,15210,15210,0,2
1CdUFJWxVNAPAkJSKvuEmQ9TddZH8NQXda,TRUE,4,263008406,263008406,0,11
1Bs28cb1c984ETGeoh4eQypgG7nVJbjqnv,TRUE,4,13550014,13550014,0,6
1FHPbKHcSx9CaXJzDpLoXG733ipQ77UNx9,TRUE,4,50824018,50824018,0,6
135qVXXBZb3v2tQcLJRA8UAndiUYNybh3J,TRUE,4,91366533,91366533,0,18
14MUcfogucxgHmVbbFQhMoAsPCpeCs1uz2,TRUE,4,4550515,4550515,0,4
1BDs9mUkreQ67XKpLZU5Nj6bLFk7CPTizv,TRUE,4,5476451,5476451,0,2
16LU6SwUDdLsAy7XXHSMg7BRbA1kfDoBnZ,TRUE,4,48942015,48942015,0,11
1NXNt72qfMhPZDffUEqryCYpEUzyR6LmgH,TRUE,4,193173783,193174783,1000,22
1NvY4BenHfDvLjHuxiADMfzwcX7tfXg9t2,TRUE,4,47753227,47753227,0,9
1AzdzwWHaJXytimxenzi45JVtY4FsXwLZZ,TRUE,4,45351118,45351118,0,10
1MAM6oPcycTrfiLPS9tjtAR8t6KDmL91fr,TRUE,4,108373475,108373475,0,16
1YnYAxprVrTo1WzPPzMo86ste5Ssp4xsy,TRUE,4,74611162,74627162,16000,11
15FsDaUnH9YfHQ1W5n36iPJnhtU8Km2cax,TRUE,4,17466824,17466824,0,4
18Fh1FsMDRHn8WBYmVB3y7aqGpKD8zKigi,TRUE,1,22163,22163,0,2
1MK4uue11JnVxjUQhq19KNSpAuyaFqBwMY,TRUE,4,100000,100000,0,2
1JTtwbvmM7ymByxPYCByVYCwasjH49J3Vj,TRUE,4,510375838,510376384,546,58
1Pypmve5Q2ZP5wNgjGAChQ3vorAy5y4gcC,TRUE,4,7943100,7943100,0,2
1BEQ3id3nr2pummerJRiAtZrdGoYHsAwq7,TRUE,4,21000888,21000888,0,4
1Lsn57KrpidawghXYavtD5MtcYmfGFeoVw,TRUE,4,2270,2270,0,3
1GcwYRfWesiSe2fBmsVSpNG2K11zDMhksG,TRUE,4,38078721,38078721,0,6
1DnoAYPwHSo4m1JP1eNvGFjCdbfoRmBtHC,TRUE,1,15422,15422,0,2
1LZQGS99RUCvQvT5Qce7LkrWtMtcXPSdWZ,TRUE,4,88803498,88803498,0,10
1DVU5Q2HQ4srFNSSaWBrVNMtL4pvBkfP5w,TRUE,4,170053497,170054385,888,22
1CKUjp9VNWFd1ysDbsq27dK9icG3vjeGr6,TRUE,4,100000,100000,0,2
16jeoRDmhMAzzmnf1nr2eKftcHB6qGhCxU,TRUE,4,16250011,16250011,0,4
1BdMUUwx5bD1xePqKwGuqguxKphSvr97wj,TRUE,1,4521631,4521631,0,2
1Abx4ytuJ2Mb5HtuCpbUuUuJ1q8cdrXXYT,TRUE,4,8142000,8142000,0,2
1PfbxCJkGNTZC7yFtHHhtPnZyiwQEUqAmu,TRUE,4,71700600,71700600,0,10
1Le9CMak1WFS9ERpfmRkvHKTdugkobDqCe,TRUE,1,44529674,44529674,0,5
1PL9ewB1y3iC7EyuePDoPxJjwC4CgAvWTo,TRUE,4,255413901,255413901,0,31
1DtNv1T1RUwjTCdSjNmmosbpCvBQ4shgVz,TRUE,4,24553301,24553301,0,4
1MnD2wsfzuz7WQXVqFwtGdAhQm4M7HPYCV,TRUE,4,18589024,18589024,0,3
1HQ7wGdA5G9qUtM8jyDt5obDv1x3vEvjCy,TRUE,4,358995649,358995649,0,42
17XHRucfd4kx3W5ty7ySLGiKHqmPUUdpus,TRUE,4,132859471,132859471,0,15
14JyZDe8gsiwFaxzuPvqcssrmTznXRfvVd,TRUE,4,1584183,1584183,0,4
1QDLRyQZ7tGVa9AApVLzHi9uTJjp57Zmru,TRUE,4,8254086,8254086,0,2
1FLJ8cbk1t3nEjqCbmWjzfm3aZWxncKB3A,TRUE,4,4944779,4945837,1058,6
1BdcboyYnGvpEVJ2wiFqeEKPYJfNF3fdXe,TRUE,4,6195315,6195315,0,2
16QkK25hK4AinHVdS4tbPDxgjBRtkZsJqu,TRUE,1,7488486,7488486,0,2
1Mf2SRGU3HuRzQQpegRj5ro2VfoMkcSeYL,TRUE,4,51569713,51569713,0,4
1NkmJWDBMyhWm5f6TPnGiLRYXD4nnqBgFy,TRUE,4,36630085,36630085,0,6
15gMT9SUR6daPzA7Duym6xxMdWv1cBeLve,TRUE,4,10000,10000,0,2
1LKZ9Ji4m44mHgheazhSima54CCxZhT8Kn,TRUE,4,10000,10000,0,2
16KnLkHYhryBovPqT8BP16zxwsGi5urFij,TRUE,4,19010300,19010300,0,3
1B6o6Cbx6Ynq364xGNeSSDhDQjp8wScTFF,TRUE,4,13417000,13417000,0,2
1BncH5WxBSYJ6mmcJC9bCRxQ6Z1evvtRxk,TRUE,4,139420714,139420714,0,15
1Mkgo9ACuciLhpinUPhTmRDfswL1aFChir,TRUE,4,29849653,29849653,0,5
1CKCx4xYubw6SHMLUyMXSuRVYuAsmQsvA8,TRUE,4,17903400,17903400,0,5
1PZp1Za8sDDYX4g2ztTpbqGa9eQao4zaQb,TRUE,4,10000000,10000000,0,2
1JDi4GbHUzCrrnT7BCYbnsyLyrFpNK7faP,TRUE,4,27920286,27920286,0,3
15ZHnf1MPn6ybb8yUeAoCQ1AJtiKhg3NrP,TRUE,4,298618822,298619488,666,24
1DbTMUuhB1XPJ2ktxKygDbrXypGofuHhq6,TRUE,4,40699722,40699722,0,4
13Vutw5mKD251LMjZcS7bPRMzFPmbgf9DJ,TRUE,4,18800000,18800000,0,4
1BMXBJWQjekAfhxTGcHu3AkveLmX6rTNhx,TRUE,4,10000,10000,0,2
1BzkoGfrLtL59ZGjhKfvBwy47DEb6oba5f,TRUE,4,233348811,233349357,546,24
1FtLQsYAxPESEV9bicbWNLuDoabHubC4Md,TRUE,4,10000,10000,0,2
1FF2wjexfHHiiuWwaA6dSEeA4WzAb4ezjU,TRUE,4,99011933,99011933,0,9
17vzpL7n29egdeJF1hvUE4tKV81MqsW4wF,TRUE,4,157843608,157843608,0,19
1Mn7SZCjojeFYhmEGmb9qiPi6o2Vd3KdkN,TRUE,4,9223909,9223909,0,4
1J6mAeTBuBcTzzq3iFYq1ehavuhCbBrHuo,TRUE,1,30191291,30191291,0,7
1LwibmKAKu4kt4SvRLYdUP3aW7vL3Y78zL,TRUE,4,191755630,191755630,0,18
